Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,L2CacheHit
8842,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17317,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.0401475518
8843,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17336,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8845,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17320,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,89.7987110706
8848,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17323,50588,50588,6324224,64,0,16,64,0,48,64,0x0,0x79b1574e8940,90.0781554399
8857,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17350,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.1594944850
8860,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17353,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1279668283
8863,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17356,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.1217032021
8866,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17359,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.2659971313
8875,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17368,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.2825833019
8878,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17371,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1242017677
8881,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17374,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,90.2256657179
8884,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17377,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,90.0679247650
8893,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17386,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,91.0294820819
8896,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17389,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,90.1479149324
8899,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17392,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,89.9851216993
8902,"gemm_qkvza_hfq4g256_fp16_wave64.kd",1,0,17395,50536,50536,6324224,64,0,16,64,0,48,64,0x0,0x7f1990c48940,89.9780544340
8911,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17404,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8914,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17407,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8916,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17391,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,91.1749547509
8917,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17410,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8919,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17394,50588,50588,12582912,64,0,16,64,0,48,64,0x0,0x79b1570e47c0,90.1276362913
8920,"gemm_qkv_hfq4g256_fp16_wave64.kd",1,0,17413,50536,50536,5242880,64,0,16,64,0,48,64,0x0,0x7f198eee0880,None
8922,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17397,50588,50588,2097152,64,0,0,64,0,48,64,0x0,0x79b1570f86c0,90.0490476131
8934,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17427,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
8937,"gemm_gate_up_hfq4g256_fp16_wave64.kd",1,0,17430,50536,50536,12582912,64,0,16,64,0,48,64,0x0,0x7f198f3707c0,None
8940,"gemm_hfq4g256_residual_fp16_wave64.kd",1,0,17433,50536,50536,2097152,64,0,0,64,0,48,64,0x0,0x7f198f3886c0,None
